Date,Open,High,Low,Close,Adj Close,Month,Year
2000-01-03,622.5,622.5,622.5,291.54580699999997,622.5,1,2000
2000-01-04,596.0,596.0,596.0,279.134583,596.0,1,2000
2000-01-05,596.0,596.0,596.0,279.134583,596.0,1,2000
2000-01-06,602.0,602.0,602.0,281.944702,602.0,1,2000
2000-01-07,597.0,597.0,597.0,279.603088,597.0,1,2000
2000-01-10,579.5,579.5,579.5,271.40704300000004,579.5,1,2000
2000-01-11,569.5,569.5,569.5,266.723389,569.5,1,2000
2000-01-12,570.0,570.0,570.0,266.95752000000005,570.0,1,2000
2000-01-13,570.5,570.5,570.5,267.191925,570.5,1,2000
2000-01-14,553.0,553.0,553.0,258.995728,553.0,1,2000
2000-01-17,550.5,550.5,550.5,257.824921,550.5,1,2000
2000-01-18,556.0,556.0,556.0,260.40078700000004,556.0,1,2000
2000-01-19,562.5,562.5,562.5,263.445007,562.5,1,2000
2000-01-20,543.0,543.0,543.0,254.31221000000002,543.0,1,2000
2000-01-21,562.5,562.5,562.5,263.445007,562.5,1,2000
2000-01-24,576.0,576.0,576.0,269.76763900000003,576.0,1,2000
2000-01-25,561.0,561.0,561.0,262.742462,561.0,1,2000
2000-01-26,555.0,555.0,555.0,259.932465,555.0,1,2000
2000-01-27,556.0,556.0,556.0,260.40078700000004,556.0,1,2000
2000-01-28,555.5,555.5,555.5,260.16662599999995,555.5,1,2000
2000-01-31,544.0,544.0,544.0,254.780594,544.0,1,2000
2000-02-01,546.0,546.0,546.0,255.717209,546.0,2,2000
2000-02-02,548.0,548.0,548.0,256.654053,548.0,2,2000
2000-02-03,525.5,525.5,525.5,246.116211,525.5,2,2000
2000-02-04,503.5,503.5,503.5,235.81260699999999,503.5,2,2000
2000-02-07,498.0,498.0,498.0,233.23671000000002,498.0,2,2000
2000-02-08,495.5,495.5,495.5,232.065842,495.5,2,2000
2000-02-09,466.0,466.0,466.0,218.249588,466.0,2,2000
2000-02-10,487.5,487.5,487.5,228.31906099999998,487.5,2,2000
2000-02-11,479.5,479.5,479.5,224.57222000000002,479.5,2,2000
2000-02-14,481.5,481.5,481.5,225.50903300000002,481.5,2,2000
2000-02-15,474.0,474.0,474.0,221.99635299999997,474.0,2,2000
2000-02-16,510.5,510.5,510.5,239.09106400000002,510.5,2,2000
2000-02-17,506.5,506.5,506.5,237.21760600000002,506.5,2,2000
2000-02-18,486.0,486.0,486.0,227.61650099999997,486.0,2,2000
2000-02-21,468.5,468.5,468.5,219.420517,468.5,2,2000
2000-02-22,446.0,446.0,446.0,208.88266000000002,446.0,2,2000
2000-02-23,458.5,458.5,458.5,216.239975,458.5,2,2000
2000-02-24,444.5,444.5,444.5,209.637314,444.5,2,2000
2000-02-25,462.0,462.0,462.0,217.890686,462.0,2,2000
2000-02-28,461.5,461.5,461.5,217.65495299999998,461.5,2,2000
2000-02-29,487.5,487.5,487.5,229.91709900000004,487.5,2,2000
2000-03-01,487.0,487.0,487.0,229.681198,487.0,3,2000
2000-03-02,501.5,501.5,501.5,236.519928,501.5,3,2000
